"DesignName","Gates","Edges","DesignPath","CellLib","FileType","Category","Time","Inputs","Outputs","NrDffs"
"automated_osu035_double_fpu_latest_final_fpu_add",4048,8938,"./automated_osu035/automated_osu035_double_fpu_latest_final_fpu_add.v","automated_osu035","v","add, arithmetic, fpu",1536251413.88591,131,68,0
"automated_osu035_double_fpu_latest_final_fpu_addsub",16154,37109,"./automated_osu035/automated_osu035_double_fpu_latest_final_fpu_addsub.v","automated_osu035","v","add, sub, addsub arithmetic, fpu",1536251413.68991,134,65,0
"automated_osu035_double_fpu_latest_final_fpu_div",9006,20372,"./automated_osu035/automated_osu035_double_fpu_latest_final_fpu_div.v","automated_osu035","v","div, arithmetic, fpu",1536251414.40191,131,69,0
"automated_osu035_double_fpu_latest_final_fpu_exceptions",2803,5848,"./automated_osu035/automated_osu035_double_fpu_latest_final_fpu_exceptions.v","automated_osu035","v","fpu",1536251414.5859,214,70,0
"automated_osu035_double_fpu_latest_final_fpu_mul",41752,101218,"./automated_osu035/automated_osu035_double_fpu_latest_final_fpu_mul.v","automated_osu035","v","fpu, mult",1536251416.38589,131,69,0
"automated_osu035_double_fpu_latest_final_fpu_round",1100,2205,"./automated_osu035/automated_osu035_double_fpu_latest_final_fpu_round.v","automated_osu035","v","fpu",1536251416.48989,74,76,0
"automated_osu035_double_fpu_latest_final_fpu_sub",5656,12534,"./automated_osu035/automated_osu035_double_fpu_latest_final_fpu_sub.v","automated_osu035","v","sub, arithmetic, fpu",1536251416.75788,134,68,0
"automated_osu035_dpll-isdn_latest_final_dpll",270,591,"./automated_osu035/automated_osu035_dpll-isdn_latest_final_dpll.v","automated_osu035","v",,1536251429.91775,2,5,0
"automated_osu035_dpll-isdn_latest_final_freqdivider",56,112,"./automated_osu035/automated_osu035_dpll-isdn_latest_final_freqdivider.v","automated_osu035","v",,1536251429.93775,3,1,0
"automated_osu035_dpll-isdn_latest_final_phasecomparator",13,18,"./automated_osu035/automated_osu035_dpll-isdn_latest_final_phasecomparator.v","automated_osu035","v",,1536251429.95375,3,2,0
"automated_osu035_dpll-isdn_latest_final_randomwalkfilter",94,205,"./automated_osu035/automated_osu035_dpll-isdn_latest_final_randomwalkfilter.v","automated_osu035","v",,1536251429.98175,3,2,0
"automated_osu035_dpll-isdn_latest_final_variableresetrandomwalkfilter",208,461,"./automated_osu035/automated_osu035_dpll-isdn_latest_final_variableresetrandomwalkfilter.v","automated_osu035","v",,1536251430.00975,3,2,0
"automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_cn",1218,2540,"./automated_osu035/automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_cn.v","automated_osu035","v",,1519995118.78267,101,92,"{}"
"automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_edgetable",24106,62098,"./automated_osu035/automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_edgetable.v","automated_osu035","v","decode",1519995118.78667,15,17,"{}"
"automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_iocontrol",1294,2996,"./automated_osu035/automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_iocontrol.v","automated_osu035","v",,1519995118.78667,30,50,"{}"
"automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_muxreg",59,87,"./automated_osu035/automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_muxreg.v","automated_osu035","v",,1519995118.78667,20,4,"{}"
"automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_ram_behav",375,814,"./automated_osu035/automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_ram_behav.v","automated_osu035","v","ram, memory",1519995118.80267,14,4,"{}"
"automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_vn",603,1189,"./automated_osu035/automated_osu035_dvb_s2_ldpc_decoder_latest_final_ldpc_vn.v","automated_osu035","v",,1519995118.80267,54,46,"{}"
"automated_osu035_ecg_latest_final_f3_add",26,42,"./automated_osu035/automated_osu035_ecg_latest_final_f3_add.v","automated_osu035","v","add, arithmetic",1536582803.56272,4,2,0
"automated_osu035_ecg_latest_final_f3_add1",7,7,"./automated_osu035/automated_osu035_ecg_latest_final_f3_add1.v","automated_osu035","v","add, arithmetic",1536253318.09128,2,2,0
"automated_osu035_ecg_latest_final_f3_mult",16,22,"./automated_osu035/automated_osu035_ecg_latest_final_f3_mult.v","automated_osu035","v","mult, arithmetic",1536253321.15126,4,2,0
"automated_osu035_ecg_latest_final_f3_sub",26,42,"./automated_osu035/automated_osu035_ecg_latest_final_f3_sub.v","automated_osu035","v","sub, arithmetic",1536253321.17526,4,2,0
"automated_osu035_ecg_latest_final_f3_sub1",7,7,"./automated_osu035/automated_osu035_ecg_latest_final_f3_sub1.v","automated_osu035","v","sub, arithmetic",1536253321.16326,2,2,0
