file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_nangate_reed_solomon_decoder_latest_final_BM_lamda.gml,3069,7668,160,89,67,345,441,5.0,True
automated_nangate_iscas_final_s838.gml,524,862,35,1,0,162,126,3.29,True
automated_nangate_tiny_aes_latest_final_expand_key_type_C_192.gml,3791,8082,201,320,168,764,880,4.26,True
automated_nangate_cookbook_final_mask_16.gml,58,77,4,16,0,6,6,2.66,False
automated_nangate_openmsp430_latest_final_omsp_clock_modul.gml,200,343,23,21,5,5,49,3.43,True
automated_nangate_ecg_latest_final_func11.gml,40427,88916,778,389,0,6559,7003,4.4,True
automated_nangate_cookbook_final_gf_mult_by_3.gml,44,56,8,8,12,0,20,2.55,True
automated_nangate_csa_latest_final_key_cnt.gml,8742,17357,68,1025,0,2,267,3.97,True
automated_nangate_cookbook_final_crc24_dat64_only_flat.gml,737,1284,64,24,465,0,611,3.48,True
automated_nangate_a-z80_latest_final_alu_bit_select.gml,30,43,3,8,0,0,8,2.87,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult243.gml,46,59,8,8,17,0,21,2.57,True
