file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_gscl45nm_cookbook_final_gf_mult_by_f3.gml,38,44,8,8,5,0,14,2.32,True
automated_gscl45nm_sha3_latest_final_padder1.gml,121,117,26,32,0,24,5,1.93,False
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult77.gml,45,58,8,8,4,0,21,2.58,True
automated_gscl45nm_simon_core_latest_final_top_modul.gml,1061,2066,4,1,12,76,74,3.89,True
automated_gscl45nm_xge_mac_latest_final_tx_hold_fifo.gml,6206,12455,76,76,12,428,536,4.01,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult229.gml,39,46,8,8,6,0,15,2.36,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult63.gml,46,59,8,8,10,0,21,2.57,True
automated_gscl45nm_cookbook_final_gf_divid.gml,1356,2677,16,8,55,355,903,3.95,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult201.gml,41,48,8,8,9,0,15,2.34,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult215.gml,45,57,8,8,9,0,20,2.53,True
automated_gscl45nm_aes_core_latest_final_aes_key_expand_128.gml,4960,9555,130,128,190,1496,2460,3.85,True
automated_gscl45nm_cookbook_final_crc32_dat96_flat.gml,2106,3806,128,32,898,0,1828,3.61,True
automated_gscl45nm_reed_solomon_decoder_latest_final_RS_d.gml,63666,136799,11,10,928,16062,11273,4.3,True
automated_gscl45nm_reed_solomon_codec_generator_latest_final_RsDecodeDpRam.gml,16486,34349,30,9,0,2384,1342,4.17,True
automated_gscl45nm_iscas_final_s13207.gml,9576,13280,62,152,0,2142,928,2.77,False
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult88.gml,45,58,8,8,11,0,21,2.58,True
automated_gscl45nm_cookbook_final_system_timer.gml,510,938,2,50,14,148,104,3.68,True
automated_gscl45nm_cookbook_final_eight_to_twenty.gml,15479,27657,532,1322,0,3439,5024,3.57,True
automated_gscl45nm_ft816float_latest_final_cntlz32Reg.gml,203,320,34,6,0,41,76,3.15,True
automated_gscl45nm_minirisc_latest_final_prog_mem.gml,752,1336,40,16,92,312,312,3.55,True
automated_gscl45nm_turbo8051_latest_final_spi_cor.gml,1299,2513,45,39,16,357,361,3.87,True
automated_gscl45nm_fast_log_latest_final_Log2pipelined.gml,355,667,22,8,0,82,116,3.76,True
automated_gscl45nm_tiny_tate_bilinear_pairing_latest_final_const.gml,435,263,7,199,1,8,13,1.21,False
automated_gscl45nm_m32632_latest_final_PREPDATA.gml,398,425,70,109,0,90,3,2.14,True
automated_gscl45nm_cr_div_latest_final_cr_di.gml,31854,64434,73,65,1503,6289,7521,4.05,True
automated_gscl45nm_turbo8051_latest_final_g_rx_crc32.gml,304,660,12,1,66,44,130,4.34,True
automated_gscl45nm_cookbook_final_fec_rot_19.gml,161,194,32,32,26,0,65,2.41,True
automated_gscl45nm_m32632_latest_final_IO_SWITCH.gml,325,365,80,45,0,14,26,2.25,True
automated_gscl45nm_openmsp430_latest_final_altera_reset_synchronizer.gml,6,5,2,1,0,0,0,1.67,True
automated_gscl45nm_Aquarius_latest_final_mult.gml,6050,12002,79,65,861,1886,2538,3.97,True
automated_gscl45nm_cookbook_final_fec_rot_25.gml,203,278,32,32,35,0,107,2.74,True
automated_gscl45nm_xge_mac_latest_final_generic_fifo_ctrl.gml,177,337,6,14,18,36,53,3.81,True
automated_gscl45nm_fpga-median_latest_final_dff_3_pip.gml,106,128,26,24,0,0,0,2.42,True
automated_gscl45nm_mriscvcore_final_ALU_su.gml,468,726,66,32,29,84,132,3.1,True
automated_gscl45nm_openmsp430_latest_final_spartan3a_pmem.gml,32,16,0,16,0,0,0,1.0,False
automated_gscl45nm_iscas_final_ND3.gml,6,5,3,1,0,1,0,1.67,True
automated_gscl45nm_cookbook_final_fec_rot_31.gml,253,377,32,32,67,0,156,2.98,True
automated_gscl45nm_mriscvcore_final_MULT.gml,4318,8450,79,34,359,1382,1389,3.91,True
automated_gscl45nm_fpu_latest_final_fpu.gml,24023,47548,70,40,2729,8278,9688,3.96,True
automated_gscl45nm_openmsp430_latest_final_DE0_NANO_SOC_QSYS_nios2_qsys_test_.gml,102,57,12,45,0,0,2,1.12,False
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult177.gml,42,52,8,8,7,0,18,2.48,True
automated_gscl45nm_minirisc_latest_final_xilinx_inc8.gml,16,8,0,8,0,0,0,1.0,False
automated_gscl45nm_cookbook_final_arbiter.gml,294,491,32,16,12,83,85,3.34,True
automated_gscl45nm_aes_core_latest_final_aes_rco.gml,116,140,2,32,1,19,16,2.41,False
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult163.gml,45,58,8,8,11,0,21,2.58,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult188.gml,39,46,8,8,6,0,15,2.36,True
automated_gscl45nm_ft816float_latest_final_fp_decomp.gml,227,239,32,64,0,14,28,2.11,False
automated_gscl45nm_cookbook_final_fec_rot_5.gml,116,104,32,32,14,0,20,1.79,False
automated_gscl45nm_minirisc_latest_final_mux2_11.gml,79,89,23,11,0,11,22,2.25,True
automated_gscl45nm_siphash-master_final_siphash_cor.gml,5988,11924,206,130,587,1815,1922,3.98,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult198.gml,41,50,8,8,5,0,17,2.44,True
automated_gscl45nm_cookbook_final_crc16_dat32_flat.gml,353,578,48,16,117,0,273,3.27,True
automated_gscl45nm_cavlc_latest_final_cavlc_top.gml,5572,12001,31,156,69,1779,1004,4.31,True
automated_gscl45nm_dpll-isdn_latest_final_variableresetrandomwalkfilter.gml,236,483,3,2,7,80,76,4.09,True
automated_gscl45nm_AES-T100_final_S4.gml,3846,7761,33,32,0,1344,1976,4.04,True
automated_gscl45nm_cookbook_final_fec_rot_1.gml,100,72,32,32,4,0,4,1.44,False
automated_gscl45nm_iscas_final_TopLevel74283.gml,42,56,9,5,8,11,12,2.67,True
automated_gscl45nm_reed_solomon_decoder_latest_final_input_syndromes.gml,23884,51247,20,137,321,5494,3682,4.29,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult167.gml,47,62,8,8,12,0,23,2.64,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult173.gml,48,62,8,8,11,0,22,2.58,True
automated_gscl45nm_fpga-median_latest_final_pixel_network.gml,1004,1776,72,8,40,384,400,3.54,True
automated_gscl45nm_cookbook_final_crc32_dat120_flat.gml,2652,4785,152,32,1178,0,2285,3.61,True
automated_gscl45nm_cookbook_final_error_value_round.gml,1727,3145,81,80,118,363,1066,3.64,True
automated_gscl45nm_cookbook_final_fec_rot_21.gml,170,212,32,32,28,0,74,2.49,True
automated_gscl45nm_cookbook_final_priority_mux.gml,35,41,12,1,0,9,8,2.34,True
