file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_osu018_iscas_final_Circuit74182.gml,33,44,9,5,0,5,2,2.67,True
automated_osu018_cookbook_final_gf_mult_by_62.gml,77,132,8,8,3,17,17,3.43,True
automated_osu018_turbo8051_latest_final_oc8051_multiply.gml,335,738,19,17,4,69,44,4.41,True
automated_osu018_edge_latest_final_mux2.gml,233,264,65,32,0,32,0,2.27,True
automated_osu018_pairing_latest_final_f3m_add.gml,1940,3104,388,194,0,97,291,3.2,False
automated_osu018_cpu8080_latest_final_scnrom.gml,252,550,8,8,0,75,65,4.37,False
automated_osu018_cookbook_final_gf_mult_by_76.gml,99,187,8,8,4,32,18,3.78,True
automated_osu018_turbo8051_latest_final_g_md_intf.gml,438,882,32,21,1,66,58,4.03,True
automated_osu018_reed_solomon_codec_generator_latest_final_RsDecodePolymul.gml,11142,24641,364,177,330,3349,2089,4.42,True
automated_osu018_8051_latest_final_oc8051_dptr.gml,170,270,30,16,0,40,5,3.18,True
automated_osu018_mriscvcore_final_ALU.gml,3365,6841,111,36,27,648,540,4.07,True
automated_osu018_m32632_latest_final_SCANDIG.gml,17,18,4,3,0,1,2,2.12,True
automated_osu018_mriscvcore_final_ALU_su.gml,524,895,66,32,7,63,97,3.42,True
automated_osu018_trigonometric_functions_in_double_fpu_latest_final_sine_lut.gml,1866,4061,34,64,0,620,552,4.35,False
automated_osu018_orsoc_graphics_accelerator_final_gfx_interp.gml,37688,82733,84,66,461,6145,5718,4.39,True
automated_osu018_xge_mac_latest_final_generic_mem_small.gml,1562,3373,42,32,0,142,38,4.32,True
automated_osu018_cookbook_final_remove_parity.gml,135,90,45,45,0,0,0,1.33,False
automated_osu018_cookbook_final_fec_rot_3.gml,135,122,32,32,9,4,12,1.81,False
automated_osu018_pci_express_crc_latest_final_crc32d16.gml,1020,2050,52,32,40,246,312,4.02,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult149.gml,54,82,8,8,2,7,17,3.04,True
automated_osu018_xge_mac_latest_final_wishbone_if.gml,810,1352,159,39,2,106,63,3.34,True
automated_osu018_cookbook_final_gf_divid.gml,1535,3503,16,8,14,571,286,4.56,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult15.gml,72,128,8,8,3,18,20,3.56,True
automated_osu018_fast_log_latest_final_Log2higha.gml,408,857,23,12,0,85,62,4.2,True
automated_osu018_mriscv_final_spi_axi_slav.gml,471,816,38,40,0,74,41,3.46,False
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult175.gml,99,181,8,8,6,30,28,3.66,True
